word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1900,1,1750,970,5.611,True,"sugar now less cl. per lb. at william parker's, 11, market place, ripon. e•varia,iiel. grandidge's maiogany sideboard, 6 feet long, m. with plate glass bac..."
sugar,1900,1,1750,972,5.612,True,"sugar niunties. tonight, therefore, he would like to knell for a bort t hoe opon the illiusseis ('onvention—lap- plause)—that iv's the ciniventiou that had..."
sugar,1900,1,1750,974,5.6162,True,american trade trickery. sugar and salt in leather the sanitary congress at bristol listened with amazement to some exposures of the adulteration with glucose and epsom salts of am...
sugar,1900,1,1750,977,5.6176,True,"sugar is d. per lb: dearer.—advt. buckley-street band of hope juvenile choir. a concert in aid pf the above was held in the •schoolroom on monday, councill..."
sugar,1900,1,1750,984,5.6258,True,"natives. mealie meal sers. klffir c meal samp sugar coffee igz. in another column a case at the court of summary juri,di3tion is reported in whictl two members of the light horse were filed or seven d"
sugar,1900,1,1750,987,5.6392,True,"...p ""greys"" at work' and ""play (by our abergavenny corrffpondeno. abergavenny, thursday. on tuesday the birkenhead and other battalions went out to the sugar loaf for battalion exerci"
sugar,1900,1,1750,996,5.6483,True,"knew by experih.nce. the schoolmaster was giving a lesson on ""con- science."" ""now, my boys,"" he said, ""supposing one of you stole a piece of sugar from the bec-in and popped it in your mouth, and moth"
sugar,1900,1,1750,1016,5.6777,True,impoverished russia. effects of brussels sugar con- vention. a report of considerable interest dealing with the economic mituation ia russia has been published by the board of trade iind the forei...
sugar,1900,1,1750,1021,5.6865,True,"worth advertiser, saturday. december 1. 1900. the farmers' column. sugar beet growing in warwick- shire. the rev. edward muckleston, m.a., of heseley glebe farm, warwick, has been continuing his exper"
sugar,1900,1,1750,1024,5.6915,True,"625,000.thr0wn on tete streets. mr. m'lcennit said it could not be seriously contended that the convention had not had an effect on the price of sugar. nvould the government, if their hands were free,"
sugar,1900,1,1750,1036,5.7119,True,"lo at, pen ible sugar tax in consequence of the reduction, we have restored our packets oi butter-scotch to the size toy were before the tax was :mpcsed, namely: is tablet..."
sugar,1900,1,1750,1038,5.7198,True,"sugar as a disinuctant. i• in many parts of europe kt is customary among people to burn su.gar in sick rooms, a pr.aatice wthieh is oonsidered by 4hyincian..."
sugar,1900,1,1750,1053,5.7446,True,the new sugar tax. the government's proposal for a new tax of a halfpenny a pound on sugar has passed with but little opposition. the public feel that money must b...
sugar,1900,1,1750,1058,5.7531,True,"cromwell's letters. that moro inman convention. trouslr already. sre,—the more the sugar convention is examined the less it commends itself to public favour. i cto not think, however, that par- liamen"
sugar,1900,1,1750,1063,5.7648,True,"nemo. cromwell's leti'ers. the government ans taxation. coal sugar: corn. sin— we are now in the last quarter of the national financial year, and speculation is rife as to the good things that the cha"
sugar,1900,1,1750,1075,5.7856,True,"ripon agricultural association. 'the production of beet sugar. there was a large gathering id farmers in wright's assembly room,. on thursday after- moon, wbeu councillor nv s white, of lincoln, read "
sugar,1900,1,1750,1077,5.7867,True,"the examiner, saturday, april 28, 1906.) miss marshall, sugar and cream misses birtles, picture misses hodgkinson, afternoon tea cloth mr. and mrs. brough, pair of silver vases dr. and mrs. bennett, a"
sugar,1900,1,1750,1085,5.7966,True,"cured. there was a boy named -tonu' ny who was always stealing sugar, in spite of the many tioashinge which the habit earned. on thin occasion he was in the dining-room just before tea, and while his "
